,Gene ID,Gene name,Counts NP1,FPKM NP1,Counts NP2,FPKM NP2,Counts P1,FPKM P1,Counts P2,FPKM P2,Log2 FC,pvalue,padj,FPKM P1 CC,FPKM P2 CC,FPKM P1 GC,FPKM P2 GC
3006,AT5G52410,,442,3.01,520,3.42,2238,23.32,1718,22.09,2.82,7.20E-153,1.73E-151,23.32,22.09,23.32,22.09
3007,AT4G40080,,62,0.83,60,0.77,274,5.6,226,5.69,2.82,7.56E-29,5.55E-28,5.6,5.69,5.6,5.69
3008,AT1G16770,,5,0.06,4,0.05,27,0.5,11,0.25,2.82,0.002472712,0.004879195,0.5,0.25,0.5,0.25
3009,AT1G23440,,1449,9.78,1466,9.57,6527,67.46,5401,68.85,2.82,0,0,67.46,68.85,67.46,68.85
3010,AT2G35970,,1,0.02,5,0.11,11,0.39,13,0.57,2.81,0.014567748,0.025123934,0.39,0.57,0.39,0.57
3014,AT5G17780,,9,0.1,18,0.19,61,1.03,49,1.02,2.81,2.35E-07,7.29E-07,1.03,1.02,1.03,1.02
3015,AT5G47730,,479,4.2,510,4.33,2283,30.66,1742,28.86,2.8,3.48E-164,8.79E-163,30.66,28.86,30.66,28.86
3017,AT4G30390,,295,6.69,353,7.75,1383,48.05,1231,52.76,2.8,9.34E-109,1.78E-107,48.05,52.76,48.05,52.76
3020,AT2G34250,,6370,48.15,7025,51.39,30381,351.71,23834,340.34,2.8,0,0,351.71,340.34,351.71,340.34
3025,AT4G31351,,31,0.88,29,0.79,153,6.62,92,4.91,2.79,3.89E-14,1.78E-13,6.62,4.91,6.62,4.91
3027,AT1G80200,,5,0.11,2,0.04,20,0.68,9,0.38,2.79,0.008594759,0.015451592,0.68,0.38,0.68,0.38
3028,AT1G32375,,5,0.06,2,0.02,14,0.25,14,0.3,2.79,0.007808562,0.014152945,0.25,0.3,0.25,0.3
3031,AT3G13420,,29,0.25,28,0.23,127,1.68,102,1.67,2.79,3.52E-14,1.61E-13,1.68,1.67,1.68,1.67
3032,AT2G08455,,27,0.48,29,0.5,129,3.54,96,3.25,2.78,7.52E-14,3.41E-13,3.54,3.25,3.54,3.25
3034,AT2G15730,,132,1.23,165,1.49,675,9.63,515,9.06,2.78,4.91E-58,5.86E-57,9.63,9.06,9.63,9.06
3036,AT1G61230,,12,0.14,11,0.12,58,1.04,35,0.77,2.78,1.87E-06,5.37E-06,1.04,0.77,1.04,0.77
3037,AT3G19320,,4,0.04,1,0.01,11,0.18,9,0.18,2.77,0.026204887,0.042980108,0.18,0.18,0.18,0.18
3039,AT4G29790,,1416,5.48,1601,5.99,6745,39.94,5246,38.32,2.77,4.93E-290,1.99E-288,39.94,38.32,39.94,38.32
3040,AT1G15800,,158,2.15,129,1.7,623,12.98,516,13.26,2.77,6.72E-55,7.68E-54,12.98,13.26,12.98,13.26
3043,AT1G12450,,148,1.55,131,1.33,598,9.62,501,9.94,2.76,2.77E-55,3.18E-54,9.62,9.94,9.62,9.94
3048,AT5G25050,,248,1.95,269,2.04,1162,13.97,879,13.04,2.76,2.23E-94,3.81E-93,13.97,13.04,13.97,13.04
3049,AT3G49055,,20,0.24,21,0.24,81,1.47,79,1.77,2.76,3.04E-10,1.15E-09,1.47,1.77,1.47,1.77
3050,AT5G50450,,30,0.36,18,0.21,103,1.91,86,1.97,2.76,3.42E-11,1.36E-10,1.91,1.97,1.91,1.97
3052,AT5G61820,,8282,68.75,8690,69.82,36944,469.72,29723,466.14,2.76,0,0,469.72,466.14,469.72,466.14
3053,AT1G26225,,3,0.26,2,0.17,13,1.75,7,1.16,2.75,0.02592805,0.042566875,1.75,1.16,1.75,1.16
3055,AT1G05894,,17,0.19,29,0.31,90,1.54,88,1.85,2.75,1.23E-10,4.77E-10,1.54,1.85,1.54,1.85
3058,AT2G17880,,149,2.07,162,2.18,694,14.78,525,13.79,2.75,5.93E-61,7.33E-60,14.78,13.79,14.78,13.79
3060,AT1G12320,,351,1.74,385,1.85,1550,11.79,1317,12.36,2.75,1.24E-124,2.61E-123,11.79,12.36,23.95202897,25.1100151
3061,AT2G18100,,80,0.55,72,0.48,337,3.53,258,3.33,2.75,4.43E-32,3.48E-31,3.53,3.33,3.53,3.33
3063,AT3G06520,,180,1.87,196,1.97,785,12.46,677,13.25,2.75,1.05E-71,1.47E-70,12.46,13.25,12.46,13.25
3064,AT4G16940,,281,0.89,312,0.96,1303,6.33,1013,6.07,2.75,9.72E-105,1.81E-103,6.33,6.07,6.33,6.07
3065,AT1G61450,,2,0.04,3,0.06,8,0.25,11,0.42,2.74,0.0271705,0.044420845,0.25,0.42,0.25,0.42
3066,AT5G18360,,343,2.01,381,2.16,1599,14.32,1223,13.51,2.74,1.40E-120,2.88E-119,14.32,13.51,14.32,13.51
3068,AT5G39090,,147,1.55,179,1.83,737,11.92,534,10.65,2.74,5.07E-59,6.12E-58,11.92,10.65,11.92,10.65
3069,AT3G13275,,129,2.95,101,2.24,471,16.51,419,18.12,2.74,1.75E-42,1.68E-41,21.67383289,23.78739261,16.51,18.12
3070,AT1G03850,,17,0.21,14,0.17,71,1.34,50,1.16,2.74,6.00E-08,1.95E-07,1.34,1.16,1.34,1.16
3071,AT1G80610,,473,5.26,478,5.15,2011,34.28,1670,35.11,2.74,2.05E-153,4.94E-152,34.28,35.11,43.66302678,44.72021209
3074,AT5G08030,,7,0.1,10,0.13,33,0.69,32,0.83,2.73,6.05E-05,0.000148215,0.69,0.83,0.69,0.83
3075,AT1G02650,,4,0.04,7,0.06,28,0.4,15,0.26,2.73,0.001424484,0.002917073,0.4,0.26,0.4,0.26
3076,AT3G51540,,13,0.12,15,0.14,55,0.8,52,0.94,2.73,2.77E-07,8.56E-07,0.8,0.94,0.8,0.94
3080,AT1G08315,,335,4.91,345,4.89,1407,31.57,1202,33.27,2.73,1.51E-115,3.01E-114,31.57,33.27,31.57,33.27
3082,AT1G12490,,2,0.03,4,0.06,13,0.33,10,0.32,2.72,0.016995563,0.028956435,0.33,0.32,0.33,0.32
3083,AT2G30990,,562,3.5,666,4.02,2597,24.78,2104,24.76,2.72,9.24E-164,2.33E-162,24.78,24.76,24.78,24.76
3084,AT1G12775,,105,0.89,106,0.87,461,6,349,5.6,2.72,4.04E-42,3.85E-41,6,5.6,6,5.6
3087,AT3G41761,,31,3.39,17,1.8,90,15.09,92,19.03,2.72,2.67E-10,1.02E-09,15.09,19.03,15.09,19.03
3090,AT1G13470,,162,2.05,125,1.53,622,12.04,477,11.39,2.71,3.04E-49,3.22E-48,12.04,11.39,12.04,11.39
3091,AT1G75000,,355,4.56,448,5.57,1761,34.67,1308,31.77,2.71,3.77E-108,7.13E-107,34.67,31.77,34.67,31.77
3092,AT5G55893,,3,0.04,2,0.02,10,0.2,9,0.22,2.71,0.028819398,0.046842765,0.2,0.22,0.2,0.22
3094,AT1G76590,,294,3.7,365,4.44,1350,26.01,1150,27.33,2.71,8.64E-100,1.55E-98,26.01,27.33,39.48350278,41.48727916
3096,AT2G23120,,17582,393.32,17451,377.86,67786,2322.55,64181,2712.47,2.71,0,0,2322.55,2712.47,2322.55,2712.47
3099,AT4G32030,,1398,14.5,1486,14.92,5946,94.48,4971,97.43,2.71,5.78E-297,2.37E-295,94.48,97.43,94.48,97.43
3101,AT1G17830,,76,0.79,63,0.63,298,4.74,230,4.51,2.7,8.63E-28,6.18E-27,4.74,4.51,7.254593961,6.902577799
3102,AT4G21500,,29,0.5,37,0.62,139,3.68,110,3.59,2.7,1.70E-14,7.90E-14,3.68,3.59,3.68,3.59
3103,AT4G21570,,1929,20.76,2128,22.17,9009,148.53,6385,129.85,2.7,1.81E-246,6.39E-245,148.53,129.85,148.53,129.85
3104,AT1G33600,,2822,20.53,3103,21.85,13121,146.17,9349,128.47,2.7,1.45E-277,5.63E-276,146.17,128.47,146.17,128.47
3106,AT1G01770,,588,4.39,640,4.62,2566,29.33,2049,28.89,2.69,1.76E-174,4.67E-173,29.33,28.89,29.33,28.89
3107,AT1G09053,,20,0.22,29,0.3,80,1.32,100,2.03,2.69,3.49E-10,1.32E-09,1.32,2.03,1.32,2.03
3113,AT4G29520,,169,2.5,132,1.89,600,13.61,521,14.58,2.68,1.40E-49,1.49E-48,13.61,14.58,16.34808794,17.51323454
3114,AT4G21323,,17,0.1,27,0.15,92,0.83,72,0.8,2.68,7.98E-10,2.96E-09,0.83,0.8,0.83,0.8
3115,AT2G17787,,355,4.04,374,4.12,1503,26.21,1215,26.14,2.68,2.62E-118,5.32E-117,26.21,26.14,26.21,26.14
3117,AT5G48610,,854,4.73,941,5.04,3532,29.95,3124,32.68,2.68,8.39E-199,2.50E-197,29.95,32.68,29.95,32.68
3118,AT3G48790,,13,0.18,13,0.17,55,1.17,42,1.1,2.68,1.35E-06,3.94E-06,1.17,1.1,1.17,1.1
3119,AT4G24710,,19,0.18,16,0.15,70,1.01,60,1.06,2.68,2.45E-08,8.16E-08,1.01,1.06,1.01,1.06
3120,AT5G01700,,72,0.6,61,0.49,291,3.73,207,3.28,2.68,1.14E-25,7.71E-25,3.73,3.28,3.73,3.28
3122,AT2G01021,,10409,1810.35,12963,2182.17,42148,11227.28,43448,14275.83,2.68,1.53E-34,1.26E-33,11227.28,14275.83,11227.28,14275.83
3130,AT5G67350,,774,9.6,749,8.99,3080,58.52,2529,59.27,2.66,8.61E-194,2.51E-192,58.52,59.27,58.52,59.27
3132,AT5G27920,,145,0.96,152,0.97,576,5.81,512,6.37,2.66,6.61E-53,7.34E-52,5.81,6.37,5.81,6.37
3134,AT5G51260,,558,5.91,588,6.03,2285,37.07,1918,38.38,2.66,2.44E-161,6.10E-160,37.07,38.38,47.9797756,49.67531123
3135,AT1G61360,,225,1.19,218,1.12,915,7.43,715,7.16,2.66,1.92E-75,2.77E-74,7.43,7.16,7.43,7.16
3136,AT1G55365,,15,0.25,13,0.21,64,1.66,40,1.28,2.66,9.76E-07,2.88E-06,1.66,1.28,1.66,1.28
3138,AT1G76980,,306,3.22,269,2.74,1144,18.46,960,19.11,2.65,9.00E-88,1.45E-86,18.46,19.11,18.46,19.11
3139,AT2G31590,,4,0.1,6,0.14,17,0.64,19,0.88,2.65,0.003220995,0.006239504,0.64,0.88,0.64,0.88
3140,AT1G49900,,22,0.13,17,0.1,74,0.68,68,0.77,2.65,8.54E-09,2.96E-08,0.68,0.77,0.68,0.77
3141,AT1G64455,,2,0.06,7,0.19,14,0.6,18,0.94,2.65,0.006917858,0.012642872,0.6,0.94,0.6,0.94
3142,AT4G37240,,40,0.85,41,0.84,155,5.05,139,5.59,2.65,1.35E-16,6.86E-16,5.05,5.59,5.05,5.59
3143,AT5G00875,,4,0.1,3,0.07,17,0.67,9,0.44,2.65,0.013734235,0.023790969,0.67,0.44,0.67,0.44
3146,AT3G06780,,737,12.64,718,11.92,2725,71.61,2528,81.94,2.64,6.16E-155,1.50E-153,71.61,81.94,71.61,81.94
3147,AT1G63080,,73,0.4,75,0.39,309,2.57,230,2.36,2.64,3.96E-28,2.85E-27,2.57,2.36,2.57,2.36
3150,AT5G21900,,101,0.9,95,0.82,407,5.57,305,5.15,2.64,9.98E-36,8.49E-35,5.57,5.15,5.57,5.15
3154,AT1G63840,,320,4.71,326,4.65,1219,27.49,1102,30.65,2.63,1.52E-95,2.63E-94,27.49,30.65,27.49,30.65
3155,AT4G20460,,74,0.78,66,0.67,238,3.84,261,5.19,2.63,9.34E-24,6.00E-23,3.84,5.19,3.84,5.19
3156,AT1G76740,,27,0.1,12,0.04,76,0.42,65,0.45,2.63,6.61E-08,2.14E-07,0.42,0.45,0.42,0.45
3157,AT1G54215,,5,0.1,2,0.04,18,0.57,8,0.31,2.63,0.016516988,0.028199173,0.57,0.31,0.57,0.31
3158,AT1G61440,,1,0.01,5,0.03,15,0.12,7,0.07,2.63,0.029172834,0.047361349,0.12,0.07,0.12,0.07
3159,AT3G05550,,15,0.36,6,0.14,42,1.54,34,1.53,2.63,4.92E-05,0.000121822,1.54,1.53,1.54,1.53
3161,AT2G21630,,319,2.34,308,2.19,1287,14.45,976,13.52,2.63,2.65E-95,4.56E-94,14.45,13.52,14.45,13.52
3162,AT4G32050,,426,3.49,419,3.32,1670,20.95,1366,21.14,2.63,2.37E-124,4.99E-123,20.95,21.14,20.95,21.14
3163,AT1G01350,,769,9.51,737,8.82,3014,57.11,2403,56.16,2.63,2.94E-183,8.09E-182,57.11,56.16,57.11,56.16
3164,AT2G42650,,76,0.79,79,0.79,287,4.56,265,5.19,2.62,2.42E-28,1.75E-27,4.56,5.19,4.56,5.19
3165,AT1G05783,,42,1.35,44,1.37,153,7.56,152,9.26,2.62,1.36E-16,6.89E-16,7.56,9.26,7.56,9.26
3166,AT2G15960,,1054,24.25,897,19.98,3356,118.27,3532,153.53,2.62,3.21E-30,2.43E-29,118.27,153.53,118.27,153.53
3167,AT5G62370,,19,0.1,9,0.05,60,0.5,41,0.43,2.62,3.60E-06,1.01E-05,0.5,0.43,0.5,0.43
3176,AT2G29670,,1731,12.31,1854,12.76,7397,80.55,5374,72.19,2.61,1.48E-245,5.21E-244,80.55,72.19,80.55,72.19
3177,AT5G57150,,270,1.81,281,1.83,1030,10.6,911,11.56,2.6,1.73E-83,2.71E-82,10.6,11.56,10.6,11.56
3184,AT1G72500,,1084,6.94,1190,7.38,4403,43.2,3583,43.37,2.6,3.33E-231,1.12E-229,43.2,43.37,43.2,43.37
3185,AT5G58730,,377,4.33,407,4.52,1541,27.08,1216,26.36,2.59,7.50E-113,1.47E-111,49.13280881,47.8264712,27.08,26.36
3188,AT2G32030,,47,0.77,41,0.65,164,4.11,143,4.42,2.59,1.30E-16,6.62E-16,4.11,4.42,4.11,4.42
3190,AT5G23850,,697,5.73,698,5.56,2701,34.02,2176,33.81,2.59,4.66E-173,1.22E-171,34.02,33.81,48.98283294,48.68046977
3191,AT5G10820,,57,0.56,69,0.65,262,3.91,181,3.33,2.59,3.78E-22,2.32E-21,3.91,3.33,3.91,3.33
3192,AT3G08245,,3,0.12,3,0.12,12,0.74,9,0.68,2.58,0.026402996,0.043284282,0.74,0.68,0.74,0.68
3194,AT1G53760,,300,4.2,251,3.4,1050,22.53,869,23,2.58,4.94E-75,7.11E-74,22.53,23,22.53,23
3196,AT2G47680,,141,0.71,131,0.64,540,4.17,409,3.89,2.58,1.44E-44,1.43E-43,4.17,3.89,4.17,3.89
3199,AT2G44200,,1564,13.74,1600,13.61,5737,77.21,5189,86.13,2.58,7.45E-231,2.49E-229,77.21,86.13,77.21,86.13
3200,AT5G61550,,12,0.07,5,0.03,25,0.22,33,0.36,2.58,0.000439297,0.000965228,0.22,0.36,0.22,0.36
3202,AT1G01570,,55,0.52,55,0.5,220,3.17,163,2.9,2.58,4.30E-20,2.47E-19,3.17,2.9,3.17,2.9
3205,AT5G19900,,2360,13.66,2357,13.2,8553,75.8,7698,84.15,2.57,2.44E-266,9.08E-265,112.3688642,124.7472285,75.8,84.15
3206,AT3G05670,,1984,10.38,2197,11.13,7738,62.02,6684,66.08,2.57,1.42E-274,5.43E-273,62.02,66.08,62.02,66.08
3210,AT5G41750,,2021,7.28,2000,6.98,7876,43.47,6006,40.89,2.57,1.47E-281,5.78E-280,43.47,40.89,43.47,40.89
3214,AT4G29950,,4653,24.53,4821,24.6,18621,150.35,14040,139.83,2.56,0,0,150.35,139.83,150.35,139.83
3215,AT3G19010,,1967,23.63,2023,23.52,7704,141.72,6017,136.53,2.56,4.69E-302,1.96E-300,141.72,136.53,141.72,136.53
3216,AT5G08875,,3,0.27,7,0.61,18,2.48,16,2.72,2.56,0.005815248,0.010745888,2.48,2.72,2.48,2.72
3218,AT3G02465,,8,0.3,7,0.25,33,1.89,19,1.34,2.55,0.00070804,0.00151187,1.89,1.34,1.89,1.34
3221,AT5G39785,,363,2.69,369,2.65,1371,15.56,1119,15.67,2.55,1.13E-102,2.08E-101,15.56,15.67,15.56,15.67
3226,AT3G03170,,24,0.5,13,0.26,71,2.24,55,2.14,2.54,3.10E-07,9.56E-07,2.24,2.14,2.24,2.14
3227,AT4G30240,,603,6.62,621,6.59,2215,37.22,1913,39.65,2.54,3.33E-145,7.78E-144,47.76579893,50.88430757,37.22,39.65
3229,AT1G09880,,5,0.04,10,0.07,25,0.29,25,0.35,2.54,0.000909398,0.001916364,0.29,0.35,0.29,0.35
3230,AT2G19710,,652,3.52,709,3.7,2602,21.51,1998,20.37,2.54,2.21E-154,5.35E-153,21.51,20.37,21.51,20.37
3231,AT3G28170,,26,0.57,26,0.55,95,3.19,80,3.32,2.54,4.31E-10,1.62E-09,3.19,3.32,3.19,3.32
3233,AT4G30150,,185,0.51,212,0.56,751,3.15,584,3.03,2.53,1.38E-58,1.66E-57,3.15,3.03,3.15,3.03
3235,AT2G19130,,852,5.31,997,6.02,3430,32.75,2772,32.64,2.53,1.71E-173,4.51E-172,32.75,32.64,41.22406126,41.08559877
3236,AT3G02070,,468,6.02,544,6.78,1887,37.21,1506,36.63,2.53,1.75E-120,3.59E-119,37.21,36.63,37.21,36.63
3238,AT4G38215,,23,0.3,27,0.35,92,1.87,75,1.88,2.52,1.31E-09,4.78E-09,1.87,1.88,1.87,1.88
3239,AT5G44380,,12,0.11,24,0.21,79,1.1,43,0.74,2.52,1.27E-06,3.70E-06,1.1,0.74,1.1,0.74
3240,AT4G38550,,6270,44.98,7121,49.44,24406,268.15,20257,274.53,2.52,0,0,268.15,274.53,268.15,274.53
3241,AT1G53163,,7,0.1,4,0.06,22,0.5,15,0.42,2.52,0.004493642,0.008473756,0.5,0.42,0.5,0.42
3251,AT4G12070,,479,4.6,505,4.69,1749,25.71,1498,27.17,2.51,1.10E-120,2.27E-119,25.71,27.17,25.71,27.17
3254,AT4G24920,,959,16.58,907,15.18,3039,80.48,3055,99.79,2.5,1.25E-120,2.58E-119,80.48,99.79,80.48,99.79
3255,AT4G32920,,409,1.33,458,1.44,1585,7.87,1269,7.77,2.5,3.33E-108,6.31E-107,7.87,7.77,7.87,7.77
3261,AT5G01420,,3,0.04,4,0.05,13,0.24,10,0.22,2.5,0.023440471,0.038917911,0.24,0.22,0.24,0.22
3262,AT4G21865,,48,0.86,30,0.52,128,3.52,126,4.27,2.49,2.52E-12,1.06E-11,3.52,4.27,3.52,4.27
3265,AT1G25180,,103,1,150,1.41,456,6.78,369,6.77,2.49,1.14E-33,9.32E-33,6.78,6.77,6.78,6.77
3267,AT1G30640,,513,3.42,519,3.35,1846,18.87,1517,19.13,2.49,5.36E-125,1.14E-123,18.87,19.13,18.87,19.13
3270,AT5G59540,,1707,16.21,1717,15.78,6357,92.46,4807,86.24,2.48,8.45E-242,2.96E-240,92.46,86.24,92.46,86.24
3271,AT2G16760,,7,0.1,2,0.03,20,0.44,10,0.27,2.48,0.014733045,0.025390722,0.44,0.27,0.44,0.27
3272,AT5G14890,,68,0.74,67,0.7,226,3.76,209,4.29,2.48,2.42E-21,1.44E-20,3.76,4.29,3.76,4.29
3276,AT1G75090,,35,0.46,34,0.43,124,2.51,99,2.47,2.47,5.20E-12,2.16E-11,2.51,2.47,2.51,2.47
3277,AT4G17720,,1044,13.21,1240,15.19,4075,78.97,3286,78.55,2.47,1.79E-175,4.76E-174,78.97,78.55,78.97,78.55
3278,AT1G10090,,621,3.79,674,3.98,2394,22.35,1793,20.65,2.47,5.62E-135,1.24E-133,22.35,20.65,22.35,20.65
3282,AT5G38700,,5,0.08,5,0.07,23,0.54,10,0.29,2.47,0.009176204,0.016422922,0.54,0.29,0.54,0.29
3284,AT5G19151,,63,2.61,68,2.73,235,14.92,185,14.49,2.46,9.20E-21,5.42E-20,14.92,14.49,14.92,14.49
3285,AT5G08175,,12,0.62,22,1.1,75,5.92,36,3.51,2.46,6.33E-06,1.72E-05,5.92,3.51,5.92,3.51
3287,AT3G52470,,1164,18.55,1343,20.72,4309,105.19,3668,110.45,2.46,4.81E-187,1.35E-185,105.19,110.45,105.19,110.45
3288,AT3G53170,,100,0.86,116,0.97,384,5.07,304,4.95,2.45,1.07E-31,8.35E-31,5.07,4.95,5.07,4.95
3289,AT3G16330,,23,0.37,19,0.29,64,1.56,68,2.05,2.45,1.64E-07,5.17E-07,1.56,2.05,1.56,2.05
3291,AT4G27654,,74,2.55,59,1.97,239,12.61,184,11.97,2.45,7.33E-20,4.19E-19,12.61,11.97,12.61,11.97
3294,AT5G54240,,158,1.99,121,1.48,468,9.04,412,9.81,2.44,4.44E-35,3.72E-34,9.04,9.81,9.04,9.81
3295,AT5G47455,,47,0.51,62,0.66,215,3.6,133,2.75,2.44,9.51E-16,4.67E-15,3.6,2.75,3.6,2.75
3296,AT5G60260,,4,0.13,11,0.35,25,1.26,22,1.37,2.44,0.002080839,0.004157516,1.26,1.37,1.26,1.37
3297,AT4G25070,,63,0.42,83,0.53,253,2.57,207,2.6,2.44,1.79E-21,1.08E-20,2.57,2.6,2.57,2.6
3298,AT3G24090,,150,1.17,132,1,487,5.83,402,5.94,2.44,9.37E-39,8.41E-38,5.83,5.94,5.83,5.94
3301,AT5G65290,,479,2.86,535,3.09,1898,17.35,1312,14.8,2.43,3.82E-95,6.56E-94,17.35,14.8,17.35,14.8
3304,AT1G07683,,5,0.13,3,0.08,19,0.76,7,0.34,2.43,0.023626542,0.039205094,0.76,0.34,0.76,0.34
3306,AT5G43490,,4,0.07,9,0.16,25,0.69,16,0.54,2.43,0.003989923,0.007588428,0.69,0.54,0.69,0.54
3307,AT1G68410,,1274,8.61,1308,8.56,4401,45.57,3676,46.95,2.43,1.57E-214,4.98E-213,45.57,46.95,45.57,46.95
3308,AT1G64760,,103,0.96,109,0.98,380,5.4,286,5.01,2.43,1.90E-30,1.44E-29,5.4,5.01,5.4,5.01
3311,AT5G60760,,7,0.04,7,0.04,26,0.25,18,0.21,2.42,0.002321714,0.004599056,0.25,0.21,0.25,0.21
3312,AT3G13277,,167,1.96,161,1.83,538,9.66,481,10.65,2.42,1.53E-43,1.50E-42,9.66,10.65,9.66,10.65
3313,AT3G62430,,5,0.04,5,0.04,16,0.22,15,0.25,2.42,0.009789626,0.017433471,0.22,0.25,0.22,0.25
3316,AT3G22540,,5,0.12,9,0.2,21,0.75,22,0.97,2.42,0.00272448,0.005332764,0.75,0.97,0.75,0.97
3321,AT1G61280,,14,0.2,14,0.19,43,0.95,43,1.17,2.41,2.17E-05,5.58E-05,0.95,1.17,0.95,1.17
3322,AT5G42570,,759,11.98,742,11.33,2552,61.69,2097,62.53,2.41,4.56E-148,1.08E-146,61.69,62.53,61.69,62.53
3323,AT4G23050,,1408,8.01,1497,8.24,4803,41.85,4162,44.74,2.41,7.44E-210,2.32E-208,41.85,44.74,41.85,44.74
3325,AT2G23790,,615,7.42,629,7.35,2033,37.58,1799,41.02,2.41,2.56E-123,5.34E-122,37.58,41.02,37.58,41.02
3327,AT1G70390,,9,0.16,7,0.12,31,0.84,19,0.64,2.41,0.001401179,0.00287328,0.84,0.64,0.84,0.64
3328,AT2G05260,,156,1.98,144,1.77,529,10.3,399,9.59,2.41,1.62E-39,1.48E-38,10.3,9.59,10.3,9.59
3330,AT4G16857,,59,0.78,62,0.79,195,3.94,176,4.38,2.41,5.50E-18,2.94E-17,3.94,4.38,3.94,4.38
3334,AT1G03230,,176,1.67,189,1.74,652,9.47,472,8.46,2.4,5.35E-46,5.42E-45,9.47,8.46,9.47,8.46
3335,AT1G09167,,4,0.24,5,0.29,12,1.09,15,1.68,2.4,0.016771562,0.028593101,1.09,1.68,1.09,1.68
3336,AT4G14970,,26,0.1,44,0.16,124,0.71,90,0.64,2.39,2.90E-10,1.10E-09,0.71,0.64,0.71,0.64
3337,AT3G08570,,49,0.37,40,0.29,135,1.56,134,1.91,2.39,5.37E-13,2.34E-12,1.56,1.91,1.56,1.91
3338,AT1G01355,,39,0.79,23,0.45,115,3.56,76,2.9,2.39,4.44E-09,1.57E-08,3.56,2.9,3.56,2.9
3339,AT3G55470,,494,8.92,482,8.42,1535,42.43,1419,48.38,2.39,6.90E-94,1.18E-92,42.43,48.38,42.43,48.38
3341,AT1G27500,,79,0.55,89,0.6,258,2.73,248,3.24,2.38,1.07E-22,6.68E-22,2.73,3.24,2.73,3.24
3342,AT1G08270,,24,0.39,35,0.55,100,2.5,79,2.44,2.38,2.93E-09,1.05E-08,2.5,2.44,2.5,2.44
3343,AT1G72070,,17,0.3,19,0.32,66,1.77,44,1.46,2.38,2.61E-06,7.38E-06,1.77,1.46,1.77,1.46
3347,AT1G56540,,205,0.99,215,1,729,5.38,547,4.98,2.38,6.20E-52,6.80E-51,5.38,4.98,5.38,4.98
3349,AT1G78990,,84,0.91,87,0.92,272,4.53,243,4.99,2.38,1.17E-23,7.52E-23,4.53,4.99,4.53,4.99
3350,AT5G54100,,161,1.76,143,1.51,534,8.95,390,8.06,2.38,1.33E-37,1.17E-36,8.95,8.06,8.95,8.06
3353,AT1G30860,,273,1.77,285,1.79,936,9.28,748,9.15,2.37,4.24E-67,5.64E-66,9.28,9.15,9.28,9.15
3354,AT1G11990,,3,0.02,6,0.05,21,0.27,7,0.11,2.37,0.022883505,0.038056523,0.27,0.11,0.27,0.11
3355,AT2G34930,,783,4.51,1033,5.76,3179,28.03,2304,25.06,2.37,2.36E-100,4.27E-99,28.03,25.06,28.03,25.06
3357,AT4G27652,,509,13.2,511,12.83,1663,66.06,1396,68.4,2.37,4.28E-107,8.05E-106,66.06,68.4,66.06,68.4
3358,AT5G06865,,38,0.46,56,0.66,155,2.88,126,2.89,2.36,3.42E-13,1.50E-12,2.88,2.89,2.88,2.89
3360,AT3G57760,,103,1.04,113,1.1,408,6.31,246,4.7,2.36,4.98E-25,3.31E-24,6.31,4.7,6.31,4.7
3369,AT5G51830,,282,2.79,309,2.95,968,14.64,789,14.72,2.35,3.92E-68,5.28E-67,14.64,14.72,14.64,14.72
3370,AT3G04200,,52,1.08,42,0.84,150,4.77,129,5.06,2.35,2.22E-13,9.84E-13,4.77,5.06,4.77,5.06
3371,AT1G51890,,42,0.22,61,0.31,195,1.59,114,1.14,2.35,5.79E-13,2.52E-12,1.59,1.14,1.59,1.14
3372,AT3G10930,,122,2.54,126,2.54,378,12.05,352,13.85,2.35,5.76E-31,4.42E-30,12.05,13.85,12.05,13.85
3373,AT5G54940,,7145,90.8,7918,97.39,25908,504.25,18914,454.08,2.35,1.04E-259,3.78E-258,504.25,454.08,504.25,454.08
3379,AT3G10630,,468,4.59,443,4.2,1492,22.4,1202,22.26,2.35,1.54E-93,2.62E-92,22.4,22.26,22.4,22.26
3381,AT5G05090,,123,1.73,128,1.74,435,9.36,310,8.23,2.34,3.18E-31,2.45E-30,9.36,8.23,9.36,8.23
3382,AT3G26512,,11,0.61,10,0.53,41,3.47,22,2.3,2.34,0.000511235,0.001113076,3.47,2.3,3.47,2.3
3384,AT1G07477,,5,0.11,7,0.15,18,0.61,17,0.71,2.34,0.007696291,0.013962138,0.61,0.71,0.61,0.71
3390,AT3G20390,,3936,60.04,4143,61.17,13363,312.19,10275,296.1,2.33,1.26E-297,5.19E-296,312.19,296.1,312.19,296.1
3392,AT1G63820,,5,0.06,6,0.07,11,0.21,20,0.46,2.33,0.013390117,0.023253759,0.21,0.46,0.21,0.46
3393,AT1G27100,,2974,22.68,2825,20.85,9162,107.02,7723,111.28,2.33,4.01E-244,1.41E-242,107.02,111.28,107.02,111.28
3394,AT1G24145,,274,4.74,309,5.17,952,25.21,748,24.43,2.32,6.49E-64,8.30E-63,25.21,24.43,25.21,24.43
3396,AT2G24140,,14,0.16,13,0.15,46,0.83,33,0.73,2.32,8.01E-05,0.000193441,0.83,0.73,0.83,0.73
3397,AT1G01715,,55,1.1,59,1.15,219,6.73,117,4.44,2.32,1.58E-13,7.06E-13,6.73,4.44,6.73,4.44
